EUR,,Current,4Q24,1Q25,2Q25,3Q25,4Q25,3M,6M,12M
G10,,,,,,,,,,
EUR-USD,,1.08,1.11,1.11,1.12,1.12,1.13,1.11,1.11,1.12
EUR-CHF,,0.94,0.95,0.96,0.97,0.98,0.99,0.95,0.96,0.98
EUR-GBP,,0.83,0.85,0.85,0.87,0.88,0.9,0.85,0.86,0.89
EUR-JPY,,165.0,158.0,157.0,155.0,153.0,153.0,158.0,156.0,153.0
EUR-NOK,,11.85,11.65,11.6,11.55,11.5,11.45,11.63,11.58,11.48
EUR-SEK,,11.45,11.25,11.2,11.15,11.1,11.1,11.23,11.18,11.1
EUR-AUD,,1.63,1.63,1.61,1.6,1.6,1.59,1.62,1.61,1.6
EUR-NZD,,1.81,1.76,1.73,1.72,1.72,1.71,1.75,1.73,1.72
EUR-CAD,,1.5,1.5,1.49,1.49,1.48,1.47,1.5,1.49,1.48
EUR TWI,,97.2,97.3,97.4,97.6,97.8,98.1,97.4,97.5,97.9
CEEMEA &,CHINA,,,,,,,,,
EUR-PLN,,4.35,4.35,4.39,4.44,4.48,4.5,4.36,4.41,4.49
EUR-HUF,,404.0,400.0,402.0,409.0,411.0,413.0,401.0,404.0,412.0
EUR-CZK,,25.24,25.1,25.0,24.9,24.8,24.7,25.07,24.97,24.77
EUR-TRY,,37.19,41.07,43.57,46.48,47.32,50.29,41.9,44.54,48.31
EUR-CNY,,7.71,7.86,7.83,7.86,7.84,7.91,7.85,7.84,7.86
